id,name,city_id,city_name
1,Austin,1,Chicago
2,Chinatown,1,Chicago
3,Hyde Park,1,Chicago
4,Logan Square,1,Chicago
5,Loop,1,Chicago
6,Financial District,3,Manhattan
7,Center City,2,Philadelphia
8,Chinatown,2,Philadelphia
9,Fishtown,2,Philadelphia
10,University City,2,Philadelphia
11,Albany Park,1,Chicago
12,Archer Heights,1,Chicago
13,Armour Square,1,Chicago
14,Ashburn,1,Chicago
15,Auburn Gresham,1,Chicago
16,Avalon Park,1,Chicago
17,Avondale,1,Chicago
18,Belmont Cragin,1,Chicago
19,Beverly,1,Chicago
20,Bridgeport,1,Chicago
21,Brighton Park,1,Chicago
22,Burnside,1,Chicago
23,Calumet Heights,1,Chicago
24,Chatham,1,Chicago
25,Chicago Lawn,1,Chicago
26,Clearing,1,Chicago
27,Douglas,1,Chicago
28,Dunning,1,Chicago
29,East Garfield Park,1,Chicago
30,East Side,1,Chicago
31,Edgewater,1,Chicago
32,Edison Park,1,Chicago
33,Englewood,1,Chicago
34,Forest Glen,1,Chicago
35,Fuller Park,1,Chicago
36,Gage Park,1,Chicago
37,Garfield Ridge,1,Chicago
38,Grand Boulevard,1,Chicago
39,Greater Grand Crossing,1,Chicago
40,Hegewisch,1,Chicago
41,Hermosa,1,Chicago
42,Humboldt Park,1,Chicago
43,Irving Park,1,Chicago
44,Jefferson Park,1,Chicago
45,Kenwood,1,Chicago
46,Lake View,1,Chicago
47,Lincoln Park,1,Chicago
48,Lincoln Square,1,Chicago
49,Lower West Side,1,Chicago
50,McKinley Park,1,Chicago
51,Montclare,1,Chicago
52,Morgan Park,1,Chicago
53,Mount Greenwood,1,Chicago
54,Near North Side,1,Chicago
55,Near South Side,1,Chicago
56,Near West Side,1,Chicago
57,New City,1,Chicago
58,North Center,1,Chicago
59,North Lawndale,1,Chicago
60,North Park,1,Chicago
61,Norwood Park,1,Chicago
62,OHare,1,Chicago
63,Oakland,1,Chicago
64,Portage Park,1,Chicago
65,Pullman,1,Chicago
66,Riverdale,1,Chicago
67,Rogers Park,1,Chicago
68,Roseland,1,Chicago
69,South Chicago,1,Chicago
70,South Deering,1,Chicago
71,South Lawndale,1,Chicago
72,South Shore,1,Chicago
73,Uptown,1,Chicago
74,Washington Heights,1,Chicago
75,Washington Park,1,Chicago
76,West Elsdon,1,Chicago
77,West Englewood,1,Chicago
78,West Garfield Park,1,Chicago
79,West Lawn,1,Chicago
80,West Pullman,1,Chicago
81,West Ridge,1,Chicago
82,West Town,1,Chicago
83,Woodlawn,1,Chicago
84,Allerton,4,Bronx
85,Bathgate,4,Bronx
86,Baychester,4,Bronx
87,Bedford Park,4,Bronx
88,Belmont,4,Bronx
89,Bronxdale,4,Bronx
90,Bronx Park South,4,Bronx
91,Bronx River,4,Bronx
92,Castle Hill,4,Bronx
93,City Island,4,Bronx
94,Claremont Village,4,Bronx
95,Clason Point,4,Bronx
96,Concourse,4,Bronx
97,Concourse Village,4,Bronx
98,Co-op City,4,Bronx
99,Country Club,4,Bronx
100,East Tremont,4,Bronx
101,Eastchester,4,Bronx
102,Edenwald,4,Bronx
103,Edgewater Park,4,Bronx
104,Fieldston,4,Bronx
105,Fordham,4,Bronx
106,High Bridge,4,Bronx
107,Hunts Point,4,Bronx
108,Kingsbridge,4,Bronx
109,Kingsbridge Heights,4,Bronx
110,Longwood,4,Bronx
111,Marble Hill,4,Bronx
112,Melrose,4,Bronx
113,Morris Heights,4,Bronx
114,Morris Park,4,Bronx
115,Morrisania,4,Bronx
116,Mott Haven,4,Bronx
117,Mount Eden,4,Bronx
118,Mount Hope,4,Bronx
119,North Riverdale,4,Bronx
120,Norwood,4,Bronx
121,Olinville,4,Bronx
122,Parkchester,4,Bronx
123,Pelham Bay,4,Bronx
124,Pelham Gardens,4,Bronx
125,Pelham Parkway,4,Bronx
126,Port Morris,4,Bronx
127,Riverdale,4,Bronx
128,Schuylerville,4,Bronx
129,Soundview,4,Bronx
130,Spuyten Duyvil,4,Bronx
131,Throgs Neck,4,Bronx
132,Unionport,4,Bronx
133,University Heights,4,Bronx
134,Van Nest,4,Bronx
135,Wakefield,4,Bronx
136,West Farms,4,Bronx
137,Westchester Square,4,Bronx
138,Williamsbridge,4,Bronx
139,Woodlawn,4,Bronx
140,Bath Beach,5,Brooklyn
141,Bay Ridge,5,Brooklyn
142,Bedford Stuyvesant,5,Brooklyn
143,Bensonhurst,5,Brooklyn
144,Bergen Beach,5,Brooklyn
145,Boerum Hill,5,Brooklyn
146,Borough Park,5,Brooklyn
147,Brighton Beach,5,Brooklyn
148,Broadway Junction,5,Brooklyn
149,Brooklyn Heights,5,Brooklyn
150,Brownsville,5,Brooklyn
