id,name,city_id,city_name
1,Austin,1,Chicago
2,Chinatown,1,Chicago
3,Hyde Park,1,Chicago
5,Loop,1,Chicago
11,Albany Park,1,Chicago
12,Archer Heights,1,Chicago
13,Armour Square,1,Chicago
14,Ashburn,1,Chicago
15,Auburn Gresham,1,Chicago
16,Avalon Park,1,Chicago
17,Avondale,1,Chicago
18,Belmon Cragin,1,Chicago
19,Beverly,1,Chicago
20,Bridgeport,1,Chicago
21,Brighton Park,1,Chicago
22,Burnside,1,Chicago
23,Calumet Heights,1,Chicago
24,Chatham,1,Chicago
25,Chicago Lawn,1,Chicago
26,Clearing,1,Chicago
27,Douglas,1,Chicago
28,Dunning,1,Chicago
29,East Garfield Park,1,Chicago
30,East Side,1,Chicago
31,Edgewater,1,Chicago
32,Edison Park,1,Chicago
33,Englewood,1,Chicago
34,Forest Glen,1,Chicago
35,Fuller Park,1,Chicago
36,Gage Park,1,Chicago
37,Garfield Ridge,1,Chicago
38,Grand Boulevard,1,Chicago
39,Greater Grand Crossing,1,Chicago
40,Hegewisch,1,Chicago
41,Hermosa,1,Chicago
42,Humboldt Park,1,Chicago
43,Irving Park,1,Chicago
44,Jefferson Park,1,Chicago
45,Kenwood,1,Chicago
46,Lake View,1,Chicago
47,Lincoln Park,1,Chicago
48,Lincoln Square,1,Chicago
49,Logan Square,1,Chicago
50,Lower West Side,1,Chicago
51,McKinley Park,1,Chicago
52,Montclare,1,Chicago
53,Morgan Park,1,Chicago
54,Mount Greenwood,1,Chicago
55,Near North Side,1,Chicago
56,Near South Side,1,Chicago
57,Near West Side,1,Chicago
58,New City,1,Chicago
59,North Center,1,Chicago
60,North Lawndale,1,Chicago
61,North Park,1,Chicago
62,Norwood Park,1,Chicago
63,O’Hare,1,Chicago
64,Oakland,1,Chicago
65,Portage Park,1,Chicago
66,Pullman,1,Chicago
67,Riverdale,1,Chicago
68,Rogers Park,1,Chicago
69,Roseland,1,Chicago
70,South Chicago,1,Chicago
71,South Deering,1,Chicago
72,South Lawndale,1,Chicago
73,South Shore,1,Chicago
74,Uptown,1,Chicago
75,Washington Heights,1,Chicago
76,Washington Park,1,Chicago
77,West Elsdon,1,Chicago
78,West Englewood,1,Chicago
79,West Garfield Park,1,Chicago
80,West Lawn,1,Chicago
81,West Pullman,1,Chicago
82,West Ridge,1,Chicago
83,West Town,1,Chicago
84,Woodlawn,1,Chicago
413,Adams-Normandie,8,Los Angeles
414,Alsace,8,Los Angeles
415,Angelino Heights,8,Los Angeles
416,Angeles Mesa,8,Los Angeles
417,Angelus Vista,8,Los Angeles
418,Arleta,8,Los Angeles
419,Arlington Heights,8,Los Angeles
420,Arts District,8,Los Angeles
421,Atwater Village,8,Los Angeles
422,Baldwin Hills,8,Los Angeles
423,Baldwin Hills/Crenshaw,8,Los Angeles
424,Baldwin Village,8,Los Angeles
425,Baldwin Vista,8,Los Angeles
426,Beachwood Canyon,8,Los Angeles
427,"Bel Air, Bel-Air or Bel Air Estates",8,Los Angeles
428,Benedict Canyon,8,Los Angeles
429,Beverly Crest,8,Los Angeles
430,Beverly Glen,8,Los Angeles
431,Beverly Grove,8,Los Angeles
432,Beverly Hills Post Office,8,Los Angeles
433,Beverly Park,8,Los Angeles
434,Beverlywood,8,Los Angeles
435,Boyle Heights,8,Los Angeles
436,Brentwood,8,Los Angeles
437,Brentwood Circle,8,Los Angeles
438,Brentwood Glen,8,Los Angeles
439,Broadway-Manchester,8,Los Angeles
440,Brookside,8,Los Angeles
441,Bunker Hill,8,Los Angeles
442,Byzantine-Latino Quarter,8,Los Angeles
443,Cahuenga Pass,8,Los Angeles
444,Canoga Park,8,Los Angeles
445,Canterbury Knolls,8,Los Angeles
446,Carthay,8,Los Angeles
447,Carthay Circle,8,Los Angeles
448,Castle Heights,8,Los Angeles
449,Central-Alameda,8,Los Angeles
450,Central City,8,Los Angeles
451,Century City,8,Los Angeles
452,Chatsworth,8,Los Angeles
453,Chesterfield Square,8,Los Angeles
454,Cheviot Hills,8,Los Angeles
455,Chinatown,8,Los Angeles
456,Civic Center,8,Los Angeles
457,Country Club Park,8,Los Angeles
458,Crenshaw,8,Los Angeles
459,Crenshaw Manor,8,Los Angeles
460,Crestview,8,Los Angeles
461,Crestwood Hills,8,Los Angeles
462,Cypress Park,8,Los Angeles
463,Del Rey,8,Los Angeles
464,Downtown,8,Los Angeles
465,Eagle Rock,8,Los Angeles
466,East Gate Bel Air,8,Los Angeles
467,East Hollywood,8,Los Angeles
468,Echo Park,8,Los Angeles
469,Edendale,8,Los Angeles
470,El Sereno,8,Los Angeles
471,Elysian Heights,8,Los Angeles
472,Elysian Park,8,Los Angeles
473,Elysian Valley,8,Los Angeles
